"#","Germplasm","Species","Pit_Lh","Dataset"
"257","FR18T018","Prunus avium","11.45","Sweet_cherry_CRS_phenotyping_2012"
"258","FR18T018","Prunus avium","11.58","Sweet_cherry_CRS_phenotyping_2011"
"259","FR18T019","Prunus avium","12.54","Sweet_cherry_CRS_phenotyping_2011"
"260","FR18T019","Prunus avium","13.22","Sweet_cherry_CRS_phenotyping_2012"
"261","FR18T020","Prunus avium","12.71","Sweet_cherry_CRS_phenotyping_2012"
"262","FR18T041","Prunus avium","13.01","Sweet_cherry_CRS_phenotyping_2011"
"263","FR18T042","Prunus avium","12.6","Sweet_cherry_CRS_phenotyping_2012"
"264","FR18T043","Prunus avium","11.4","Sweet_cherry_CRS_phenotyping_2011"
"265","FR18T043","Prunus avium","12.12","Sweet_cherry_CRS_phenotyping_2012"
"266","FR18T044","Prunus avium","12.68","Sweet_cherry_CRS_phenotyping_2011"
"267","FR18T044","Prunus avium","13.41","Sweet_cherry_CRS_phenotyping_2012"
"268","FR18T045","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2012"
"269","FR18T048","Prunus avium","10.89","Sweet_cherry_CRS_phenotyping_2011"
"270","FR18T048","Prunus avium","12.58","Sweet_cherry_CRS_phenotyping_2012"
"271","FR18T052","Prunus avium","9.81","Sweet_cherry_CRS_phenotyping_2012"
"272","FR18T071","Prunus avium","9.64","Sweet_cherry_CRS_phenotyping_2011"
"273","FR18T071","Prunus avium","10.17","Sweet_cherry_CRS_phenotyping_2012"
"274","FR1T027","Prunus avium","11.78","Sweet_cherry_CRS_phenotyping_2012"
"275","FR1T027","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2011"
"276","FR1T028","Prunus avium","11.77","Sweet_cherry_CRS_phenotyping_2012"
"277","FR1T028","Prunus avium","11.78","Sweet_cherry_CRS_phenotyping_2011"
"278","FR1T029","Prunus avium","11.67","Sweet_cherry_CRS_phenotyping_2011"
"279","FR1T029","Prunus avium","12.26","Sweet_cherry_CRS_phenotyping_2012"
"280","FR1T029","Prunus avium","12.48","Sweet_cherry_CRS_phenotyping_2010"
"281","FR1T030","Prunus avium","11.54","Sweet_cherry_CRS_phenotyping_2011"
"282","FR1T030","Prunus avium","11.63","Sweet_cherry_CRS_phenotyping_2012"
"283","FR1T030","Prunus avium","12.12","Sweet_cherry_CRS_phenotyping_2010"
"284","FR1T031","Prunus avium","11.18","Sweet_cherry_CRS_phenotyping_2012"
"285","FR1T031","Prunus avium","11.41","Sweet_cherry_CRS_phenotyping_2010"
"286","FR1T031","Prunus avium","11.48","Sweet_cherry_CRS_phenotyping_2011"
"287","FR1T032","Prunus avium","10.67","Sweet_cherry_CRS_phenotyping_2012"
"288","FR1T032","Prunus avium","12.02","Sweet_cherry_CRS_phenotyping_2010"
"289","FR1T032","Prunus avium","12.27","Sweet_cherry_CRS_phenotyping_2011"
"290","FR1T033","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2012"
"291","FR1T033","Prunus avium","10.64","Sweet_cherry_CRS_phenotyping_2011"
"292","FR1T033","Prunus avium","11.11","Sweet_cherry_CRS_phenotyping_2010"
"293","FR1T037","Prunus avium","10.91","Sweet_cherry_CRS_phenotyping_2012"
"294","FR1T037","Prunus avium","10.97","Sweet_cherry_CRS_phenotyping_2010"
"295","FR1T037","Prunus avium","11.32","Sweet_cherry_CRS_phenotyping_2011"
"296","FR1T038","Prunus avium","11.54","Sweet_cherry_CRS_phenotyping_2012"
"297","FR1T038","Prunus avium","11.62","Sweet_cherry_CRS_phenotyping_2011"
"298","FR1T038","Prunus avium","12.54","Sweet_cherry_CRS_phenotyping_2010"
"299","FR1T039","Prunus avium","11.85","Sweet_cherry_CRS_phenotyping_2012"
"300","FR1T039","Prunus avium","11.99","Sweet_cherry_CRS_phenotyping_2010"
"301","FR1T039","Prunus avium","12.11","Sweet_cherry_CRS_phenotyping_2011"
"302","FR1T040","Prunus avium","11.45","Sweet_cherry_CRS_phenotyping_2012"
"303","FR1T040","Prunus avium","11.49","Sweet_cherry_CRS_phenotyping_2011"
"304","FR1T040","Prunus avium","11.89","Sweet_cherry_CRS_phenotyping_2010"
"305","FR1T041","Prunus avium","11.02","Sweet_cherry_CRS_phenotyping_2012"
"306","FR1T041","Prunus avium","11.17","Sweet_cherry_CRS_phenotyping_2010"
"307","FR1T041","Prunus avium","11.39","Sweet_cherry_CRS_phenotyping_2011"
"308","FR1T042","Prunus avium","11.74","Sweet_cherry_CRS_phenotyping_2012"
"309","FR1T042","Prunus avium","12.04","Sweet_cherry_CRS_phenotyping_2011"
"310","FR1T042","Prunus avium","12.19","Sweet_cherry_CRS_phenotyping_2010"
"311","FR1T054","Prunus avium","11.02","Sweet_cherry_CRS_phenotyping_2012"
"312","FR1T054","Prunus avium","11.32","Sweet_cherry_CRS_phenotyping_2011"
"313","FR1T054","Prunus avium","11.64","Sweet_cherry_CRS_phenotyping_2010"
"314","FR1T056","Prunus avium","12.64","Sweet_cherry_CRS_phenotyping_2010"
"315","FR1T056","Prunus avium","12.93","Sweet_cherry_CRS_phenotyping_2012"
"316","FR1T056","Prunus avium","12.99","Sweet_cherry_CRS_phenotyping_2011"
"317","FR1T065","Prunus avium","11.16","Sweet_cherry_CRS_phenotyping_2012"
"318","FR1T065","Prunus avium","11.17","Sweet_cherry_CRS_phenotyping_2010"
"319","FR1T065","Prunus avium","11.82","Sweet_cherry_CRS_phenotyping_2011"
"320","FR1T073","Prunus avium","12.26","Sweet_cherry_CRS_phenotyping_2010"
"321","FR1T073","Prunus avium","12.48","Sweet_cherry_CRS_phenotyping_2012"
"322","FR1T073","Prunus avium","12.8","Sweet_cherry_CRS_phenotyping_2011"
"323","FR21T037","Prunus avium","12.65","Sweet_cherry_CRS_phenotyping_2012"
