"#","Germplasm","Species","Pull_Force","Dataset"
"260","FR18T043","Prunus avium","1007.5","Sweet_cherry_CRS_phenotyping_2011"
"261","FR18T044","Prunus avium","902.4","Sweet_cherry_CRS_phenotyping_2011"
"262","FR18T044","Prunus avium","962.6","Sweet_cherry_CRS_phenotyping_2012"
"263","FR18T045","Prunus avium","623","Sweet_cherry_CRS_phenotyping_2012"
"264","FR18T048","Prunus avium","712.8","Sweet_cherry_CRS_phenotyping_2012"
"265","FR18T048","Prunus avium","962.6","Sweet_cherry_CRS_phenotyping_2011"
"266","FR18T052","Prunus avium","746.4","Sweet_cherry_CRS_phenotyping_2012"
"267","FR18T071","Prunus avium","1011.6","Sweet_cherry_CRS_phenotyping_2012"
"268","FR18T071","Prunus avium","1193.1","Sweet_cherry_CRS_phenotyping_2011"
"269","FR1T027","Prunus avium","613.9","Sweet_cherry_CRS_phenotyping_2012"
"270","FR1T027","Prunus avium","916.7","Sweet_cherry_CRS_phenotyping_2011"
"271","FR1T028","Prunus avium","948.3","Sweet_cherry_CRS_phenotyping_2011"
"272","FR1T028","Prunus avium","1032","Sweet_cherry_CRS_phenotyping_2012"
"273","FR1T029","Prunus avium","828","Sweet_cherry_CRS_phenotyping_2012"
"274","FR1T029","Prunus avium","900.4","Sweet_cherry_CRS_phenotyping_2010"
"275","FR1T029","Prunus avium","1007.5","Sweet_cherry_CRS_phenotyping_2011"
"276","FR1T030","Prunus avium","596.5","Sweet_cherry_CRS_phenotyping_2012"
"277","FR1T030","Prunus avium","908.6","Sweet_cherry_CRS_phenotyping_2011"
"278","FR1T030","Prunus avium","1144.1","Sweet_cherry_CRS_phenotyping_2010"
"279","FR1T031","Prunus avium","1033","Sweet_cherry_CRS_phenotyping_2011"
"280","FR1T031","Prunus avium","1087","Sweet_cherry_CRS_phenotyping_2012"
"281","FR1T031","Prunus avium","1237.9","Sweet_cherry_CRS_phenotyping_2010"
"282","FR1T032","Prunus avium","830","Sweet_cherry_CRS_phenotyping_2012"
"283","FR1T032","Prunus avium","855.5","Sweet_cherry_CRS_phenotyping_2010"
"284","FR1T032","Prunus avium","1022.8","Sweet_cherry_CRS_phenotyping_2011"
"285","FR1T033","Prunus avium","537.4","Sweet_cherry_CRS_phenotyping_2012"
"286","FR1T033","Prunus avium","963.6","Sweet_cherry_CRS_phenotyping_2011"
"287","FR1T033","Prunus avium","977.9","Sweet_cherry_CRS_phenotyping_2010"
"288","FR1T037","Prunus avium","777","Sweet_cherry_CRS_phenotyping_2011"
"289","FR1T037","Prunus avium","858.6","Sweet_cherry_CRS_phenotyping_2010"
"290","FR1T037","Prunus avium","883.1","Sweet_cherry_CRS_phenotyping_2012"
"291","FR1T038","Prunus avium","841.3","Sweet_cherry_CRS_phenotyping_2012"
"292","FR1T038","Prunus avium","987.1","Sweet_cherry_CRS_phenotyping_2011"
"293","FR1T038","Prunus avium","1155.3","Sweet_cherry_CRS_phenotyping_2010"
"294","FR1T039","Prunus avium","831.1","Sweet_cherry_CRS_phenotyping_2011"
"295","FR1T039","Prunus avium","897.4","Sweet_cherry_CRS_phenotyping_2012"
"296","FR1T039","Prunus avium","1076.8","Sweet_cherry_CRS_phenotyping_2010"
"297","FR1T040","Prunus avium","1014.6","Sweet_cherry_CRS_phenotyping_2012"
"298","FR1T040","Prunus avium","1350.1","Sweet_cherry_CRS_phenotyping_2011"
"299","FR1T040","Prunus avium","1539.8","Sweet_cherry_CRS_phenotyping_2010"
"300","FR1T041","Prunus avium","725","Sweet_cherry_CRS_phenotyping_2012"
"301","FR1T041","Prunus avium","1102.3","Sweet_cherry_CRS_phenotyping_2011"
"302","FR1T041","Prunus avium","1356.2","Sweet_cherry_CRS_phenotyping_2010"
"303","FR1T042","Prunus avium","742.4","Sweet_cherry_CRS_phenotyping_2012"
"304","FR1T042","Prunus avium","792.3","Sweet_cherry_CRS_phenotyping_2011"
"305","FR1T042","Prunus avium","908.6","Sweet_cherry_CRS_phenotyping_2010"
"306","FR1T054","Prunus avium","848.4","Sweet_cherry_CRS_phenotyping_2012"
"307","FR1T054","Prunus avium","1012.6","Sweet_cherry_CRS_phenotyping_2011"
"308","FR1T054","Prunus avium","1169.6","Sweet_cherry_CRS_phenotyping_2010"
"309","FR1T056","Prunus avium","771.9","Sweet_cherry_CRS_phenotyping_2012"
"310","FR1T056","Prunus avium","1067.6","Sweet_cherry_CRS_phenotyping_2011"
"311","FR1T056","Prunus avium","1127.8","Sweet_cherry_CRS_phenotyping_2010"
"312","FR1T065","Prunus avium","1001.4","Sweet_cherry_CRS_phenotyping_2011"
"313","FR1T065","Prunus avium","1002.4","Sweet_cherry_CRS_phenotyping_2012"
"314","FR1T065","Prunus avium","1108.4","Sweet_cherry_CRS_phenotyping_2010"
"315","FR1T073","Prunus avium","677.1","Sweet_cherry_CRS_phenotyping_2011"
"316","FR1T073","Prunus avium","729.1","Sweet_cherry_CRS_phenotyping_2010"
"317","FR1T073","Prunus avium","906.5","Sweet_cherry_CRS_phenotyping_2012"
"318","FR21T037","Prunus avium","781.1","Sweet_cherry_CRS_phenotyping_2012"
"319","FR21T063","Prunus avium","703.6","Sweet_cherry_CRS_phenotyping_2012"
"320","FR22T001","Prunus avium","671","Sweet_cherry_CRS_phenotyping_2012"
"321","FR22T002","Prunus avium","542.5","Sweet_cherry_CRS_phenotyping_2012"
"322","FR22T002","Prunus avium","948.3","Sweet_cherry_CRS_phenotyping_2011"
"323","FR22T003","Prunus avium","900.4","Sweet_cherry_CRS_phenotyping_2012"
