"#","Germplasm","Species","Stem_length","Dataset"
"273","FR3T023","Prunus avium","36","Sweet_cherry_CRS_phenotyping_2011"
"274","FR3T025","Prunus avium","31.81","Sweet_cherry_CRS_phenotyping_2010"
"275","FR3T025","Prunus avium","35.4","Sweet_cherry_CRS_phenotyping_2011"
"276","FR3T026","Prunus avium","40.36","Sweet_cherry_CRS_phenotyping_2011"
"277","FR3T027","Prunus avium","40.32","Sweet_cherry_CRS_phenotyping_2011"
"278","FR3T029","Prunus avium","44.83","Sweet_cherry_CRS_phenotyping_2010"
"279","FR3T029","Prunus avium","53.13","Sweet_cherry_CRS_phenotyping_2011"
"280","FR3T030","Prunus avium","33.66","Sweet_cherry_CRS_phenotyping_2011"
"281","FR3T031","Prunus avium","35.34","Sweet_cherry_CRS_phenotyping_2011"
"282","FR3T032","Prunus avium","33.76","Sweet_cherry_CRS_phenotyping_2011"
"283","FR3T033","Prunus avium","42.71","Sweet_cherry_CRS_phenotyping_2011"
"284","FR3T034","Prunus avium","45.57","Sweet_cherry_CRS_phenotyping_2011"
"285","FR3T043","Prunus avium","32.61","Sweet_cherry_CRS_phenotyping_2011"
"286","FR3T043","Prunus avium","37.75","Sweet_cherry_CRS_phenotyping_2010"
"287","FR3T044","Prunus avium","47.19","Sweet_cherry_CRS_phenotyping_2011"
"288","FR3T046","Prunus avium","39.38","Sweet_cherry_CRS_phenotyping_2011"
"289","FR3T047","Prunus avium","44.54","Sweet_cherry_CRS_phenotyping_2011"
"290","FR3T050","Prunus avium","41.61","Sweet_cherry_CRS_phenotyping_2010"
"291","FR3T050","Prunus avium","48.26","Sweet_cherry_CRS_phenotyping_2011"
"292","FR3T056","Prunus avium","32.17","Sweet_cherry_CRS_phenotyping_2010"
"293","FR3T056","Prunus avium","35.75","Sweet_cherry_CRS_phenotyping_2011"
"294","FR3T057","Prunus avium","38.94","Sweet_cherry_CRS_phenotyping_2011"
"295","FR3T057","Prunus avium","39.52","Sweet_cherry_CRS_phenotyping_2010"
"296","FR3T058","Prunus avium","51.62","Sweet_cherry_CRS_phenotyping_2011"
"297","FR42T001","Prunus avium","42.31","Sweet_cherry_CRS_phenotyping_2011"
"298","FR42T048","Prunus avium","29.28","Sweet_cherry_CRS_phenotyping_2011"
"299","FR5T019","Prunus avium","35.52","Sweet_cherry_CRS_phenotyping_2011"
"300","FR5T021","Prunus avium","43.18","Sweet_cherry_CRS_phenotyping_2011"
"301","FR5T021","Prunus avium","53.01","Sweet_cherry_CRS_phenotyping_2010"
"302","FR5T025","Prunus avium","45.96","Sweet_cherry_CRS_phenotyping_2011"
"303","FR8T002","Prunus avium","33.69","Sweet_cherry_CRS_phenotyping_2011"
"304","FR8T003","Prunus avium","34.94","Sweet_cherry_CRS_phenotyping_2011"
"305","FR8T011","Prunus avium","45.43","Sweet_cherry_CRS_phenotyping_2011"
"306","FR8T057","Prunus avium","54.78","Sweet_cherry_CRS_phenotyping_2011"
"307","FR9T031","Prunus avium","28.59","Sweet_cherry_CRS_phenotyping_2010"
"308","FR9T032","Prunus avium","36.09","Sweet_cherry_CRS_phenotyping_2011"
"309","FR9T032","Prunus avium","43.96","Sweet_cherry_CRS_phenotyping_2010"
"310","FR9T033","Prunus avium","47.44","Sweet_cherry_CRS_phenotyping_2011"
"311","FR9T034","Prunus avium","41.25","Sweet_cherry_CRS_phenotyping_2011"
"312","FR9T081","Prunus avium","31.15","Sweet_cherry_CRS_phenotyping_2011"
"313","FR9T083","Prunus avium","43.18","Sweet_cherry_CRS_phenotyping_2011"
"314","FR9T084","Prunus avium","31.87","Sweet_cherry_CRS_phenotyping_2011"
"315","FR9T085","Prunus avium","34.39","Sweet_cherry_CRS_phenotyping_2011"
"316","FR9T086","Prunus avium","39.84","Sweet_cherry_CRS_phenotyping_2011"
"317","FR9T087","Prunus avium","44.02","Sweet_cherry_CRS_phenotyping_2011"
"318","FR9T097","Prunus avium","34.19","Sweet_cherry_CRS_phenotyping_2011"
"319","FR9T098","Prunus avium","43.99","Sweet_cherry_CRS_phenotyping_2011"
"320","PC 9816-005","Prunus avium","37.46","Sweet_cherry_CRS_phenotyping_2010"
"321","PC 9816-023","Prunus avium","35.15","Sweet_cherry_CRS_phenotyping_2010"
"322","PC 9816-041","Prunus avium","31.9","Sweet_cherry_CRS_phenotyping_2010"
