"#","Germplasm","Species","Fruit_Shape","Dataset"
"314","FR26T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"315","FR26T038","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"316","FR26T038","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"317","FR26T040","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"318","FR27T001","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2012"
"319","FR27T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"320","FR27T006","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"321","FR27T007","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"322","FR27T008","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"323","FR27T009","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"324","FR27T010","Prunus avium","3.3","Sweet_cherry_CRS_phenotyping_2012"
"325","FR27T013","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"326","FR27T013","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"327","FR27T014","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2011"
"328","FR27T014","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"329","FR27T015","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"330","FR27T015","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"331","FR27T017","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"332","FR27T050","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"333","FR27T051","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"334","FR27T053","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"335","FR27T053","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
