"#","Germplasm","Species","Harvest_Date","Dataset"
"402","FR2T045","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"403","FR2T046","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"404","FR2T046","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"405","FR2T046","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"406","FR2T048","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"407","FR2T048","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"408","FR2T049","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"409","FR2T049","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"410","FR2T049","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"411","FR2T050","Prunus avium","7/10/2011","Sweet_cherry_CRS_phenotyping_2011"
"412","FR2T050","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"413","FR2T050","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"414","FR2T054","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"415","FR2T054","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"416","FR2T054","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"417","FR2T057","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"418","FR2T057","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"419","FR2T057","Prunus avium","7/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"420","FR2T079","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"421","FR2T079","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"422","FR2T080","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"423","FR2T080","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"424","FR2T080","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
"425","FR30T100","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"426","FR30T101","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"427","FR30T102","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"428","FR30T102","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"429","FR30T103","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
